region,year,disease,num_cases,risk_score_avg,count_workers,state,weather_temp_avg,weather_prcp_avg
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Connecticut,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Delaware,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Kentucky,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Maine,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Maryland,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Massachusetts,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,New Hampshire,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,New Jersey,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,New York,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,North Carolina,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Pennsylvania,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Rhode Island,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Tennessee,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Vermont,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,Virginia,53.8333293269231,42.9111807238038
EAST,2016,Campylobacteriosis,16699,2.56382978723404,194,West Virginia,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Connecticut,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Delaware,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Kentucky,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Maine,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Maryland,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Massachusetts,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,New Hampshire,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,New Jersey,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,New York,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,North Carolina,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Pennsylvania,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Rhode Island,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Tennessee,53.8333293269231,42.9111807238038
EAST,2016,Cryptosporidiosis,2685,2.56382978723404,194,Vermont,53.8333293269231,42.9111807238038
