"","DATE","state","region_name","state_prcp","state_temp","region_prcp","region_temp"
"1",2016,"Alabama","SOUTHEAST",45.5751557174756,65.1428358208955,50.7908839826394,67.0874901960784
"2",2017,"Alabama","SOUTHEAST",64.9912823397075,64.6828571428571,56.9276742846169,66.6663756097561
"3",2018,"Alabama","SOUTHEAST",65.7554303556883,64.0955517241379,63.2754326761786,65.7304210526316
"4",2019,"Alabama","SOUTHEAST",58.3377152008541,64.8496949152542,57.578498499708,66.5310895140665
"5",2016,"Arizona","SOUTHWEST",15.2646850393701,60.69254,27.5203880764904,63.106987394958
"6",2017,"Arizona","SOUTHWEST",12.2362204724409,61.0933333333333,27.5458414358124,63.1517327935223
"7",2018,"Arizona","SOUTHWEST",14.9140255905512,60.68705,29.8720108651716,61.6933100616016
"8",2019,"Arizona","SOUTHWEST",19.1322089806342,59.054,27.9575247916186,61.0764016736402
"9",2018,"Arkansas","SOUTHEAST",64.0516732283465,60.5138,63.2754326761786,65.7304210526316
"10",2019,"Arkansas","SOUTHEAST",66.051817971283,60.8532058823529,57.578498499708,66.5310895140665
"11",2016,"Arkansas","SOUTHEAST",50.038489432242,62.6374210526316,50.7908839826394,67.0874901960784
"12",2017,"Arkansas","SOUTHEAST",50.5793099875673,62.2336052631579,56.9276742846169,66.6663756097561
"13",2016,"California","CALIFORNIA",25.4050118735158,59.4471428571429,25.4050118735158,59.4471428571429
"14",2017,"California","CALIFORNIA",31.5368017302558,59.247982832618,31.5368017302558,59.247982832618
"15",2018,"California","CALIFORNIA",18.6286264216973,59.26952,18.6286264216973,59.26952
"16",2019,"California","CALIFORNIA",30.6879077615298,57.8858,30.6879077615298,57.8858
"17",2016,"Colorado","NORTHWEST",20.3533255151617,44.0109787234043,31.448235124861,45.4692368236121
"18",2017,"Colorado","NORTHWEST",22.2542735042735,44.8006153846154,32.7869155244483,44.9760653594771
"19",2019,"Colorado","NORTHWEST",23.9241649733299,42.1443064516129,29.2477990633824,42.8815116618076
"20",2018,"Colorado","NORTHWEST",17.8129022772568,44.0437178423237,26.8100243814701,44.7163147208122
"21",2016,"Connecticut","EAST",36.7736220472441,51.901,42.9111807238038,53.8333293269231
"22",2017,"Connecticut","EAST",43.407583920431,50.9350526315789,48.3092406441851,53.5060563035496
"23",2018,"Connecticut","EAST",61.4301837270341,50.63,61.5461773232173,52.8776379100851
"24",2019,"Connecticut","EAST",52.5622539370079,49.875125,52.7494648962238,53.0712250922509
"25",2016,"Delaware","EAST",45.1574803149606,57.62,42.9111807238038,53.8333293269231
"26",2017,"Delaware","EAST",43.9068241469816,58.058,48.3092406441851,53.5060563035496
"27",2018,"Delaware","EAST",61.3018372703412,57.482,61.5461773232173,52.8776379100851
"28",2019,"Delaware","EAST",43.7726377952756,57.0245,52.7494648962238,53.0712250922509
"29",2016,"Florida","SOUTHEAST",54.3089036947305,74.0571730769231,50.7908839826394,67.0874901960784
"30",2017,"Florida","SOUTHEAST",61.082222895215,74.2453076923077,56.9276742846169,66.6663756097561
"31",2018,"Florida","SOUTHEAST",56.083454845922,74.382,63.2754326761786,65.7304210526316
"32",2019,"Florida","SOUTHEAST",54.9298405007066,75.1838461538462,57.578498499708,66.5310895140665
"33",2016,"Georgia","SOUTHEAST",40.7647936053448,64.8210909090909,50.7908839826394,67.0874901960784
"34",2017,"Georgia","SOUTHEAST",51.4166878333757,64.9376774193548,56.9276742846169,66.6663756097561
"35",2018,"Georgia","SOUTHEAST",65.3522621113039,63.4469152542373,63.2754326761786,65.7304210526316
"36",2019,"Georgia","SOUTHEAST",50.7697162854643,65.0462857142857,57.578498499708,66.5310895140665
"37",2016,"Idaho","NORTHWEST",30.5523840769904,44.241375,31.448235124861,45.4692368236121
"38",2018,"Idaho","NORTHWEST",26.7623478883321,43.604,26.8100243814701,44.7163147208122
"39",2019,"Idaho","NORTHWEST",28.5457891133174,42.1487391304348,29.2477990633824,42.8815116618076
"40",2017,"Idaho","NORTHWEST",36.1719160104987,43.3905909090909,32.7869155244483,44.9760653594771
"41",2017,"Illinois","MIDWEST",37.9784645669291,53.54654,34.1536608798474,50.1160324232082
"42",2018,"Illinois","MIDWEST",45.4406299212598,51.44522,38.1048637725594,48.3110743362832
